,score,group,fairScore
0,48.0,0,
1,48.0,1,
2,48.0,0,
3,48.0,0,
4,48.0,0,
5,48.0,0,
6,48.0,0,
7,48.0,0,
8,48.0,0,
9,48.0,1,
10,48.0,0,
11,48.0,1,
12,48.0,0,
13,48.0,0,
14,48.0,0,
15,48.0,3,
16,48.0,0,
17,48.0,1,
18,48.0,1,
19,48.0,1,
20,48.0,0,
21,48.0,0,
22,48.0,1,
23,48.0,3,
24,48.0,1,
25,48.0,1,
26,48.0,3,
27,48.0,0,
28,48.0,0,
29,48.0,0,
30,48.0,0,
31,48.0,0,
32,48.0,0,
33,48.0,0,
34,48.0,0,
35,48.0,1,
36,48.0,0,
37,48.0,2,
38,48.0,1,
39,48.0,1,
40,48.0,0,
41,48.0,0,
42,48.0,0,
43,48.0,1,
44,48.0,0,
45,48.0,0,
46,48.0,0,
47,48.0,1,
48,48.0,0,
49,48.0,1,
50,48.0,1,
51,48.0,0,
52,48.0,0,
53,48.0,0,
54,48.0,1,
55,48.0,0,
56,48.0,0,
57,48.0,0,
58,48.0,1,
59,48.0,0,
60,48.0,0,
61,48.0,1,
62,48.0,0,
63,48.0,2,
64,48.0,1,
65,48.0,3,
66,48.0,0,
67,48.0,0,
68,48.0,1,
69,48.0,2,
70,48.0,0,
71,48.0,0,
72,48.0,1,
73,48.0,1,
74,48.0,1,
75,48.0,1,
76,48.0,0,
77,48.0,0,
78,48.0,0,
79,48.0,1,
80,48.0,0,
81,48.0,1,
82,48.0,1,
83,48.0,0,
84,48.0,3,
85,48.0,0,
86,48.0,0,
87,48.0,0,
88,48.0,0,
89,48.0,0,
90,48.0,0,
91,48.0,0,
92,48.0,1,
93,48.0,1,
94,48.0,1,
95,48.0,1,
96,48.0,0,
97,48.0,0,
98,48.0,1,
99,48.0,0,
100,48.0,0,
101,48.0,1,
102,48.0,1,
103,48.0,0,
104,48.0,0,
105,48.0,0,
106,48.0,0,
107,48.0,1,
108,48.0,0,
109,48.0,0,
110,48.0,0,
111,48.0,0,
112,48.0,0,
113,48.0,0,
114,48.0,0,
115,48.0,2,
116,48.0,0,
117,48.0,0,
118,48.0,0,
119,48.0,1,
120,48.0,0,
121,48.0,1,
122,48.0,1,
123,48.0,0,
124,48.0,1,
125,48.0,0,
126,48.0,0,
127,48.0,3,
128,48.0,2,
129,48.0,1,
130,48.0,0,
131,48.0,1,
132,48.0,0,
133,48.0,0,
134,48.0,0,
135,48.0,0,
136,48.0,1,
137,48.0,1,
138,48.0,0,
139,48.0,1,
140,48.0,0,
141,48.0,1,
142,48.0,1,
143,48.0,0,
144,48.0,0,
145,48.0,0,
146,48.0,0,
147,48.0,1,
148,48.0,1,
149,48.0,1,
150,48.0,0,
151,48.0,1,
152,48.0,0,
153,48.0,1,
154,48.0,1,
155,48.0,0,
156,48.0,1,
157,48.0,0,
158,48.0,1,
159,48.0,1,
160,48.0,1,
161,48.0,0,
162,48.0,0,
163,48.0,0,
164,48.0,0,
165,48.0,2,
166,48.0,1,
167,48.0,0,
168,48.0,0,
169,48.0,1,
170,48.0,1,
171,48.0,0,
172,48.0,0,
173,48.0,0,
174,48.0,0,
175,48.0,0,
176,48.0,0,
177,48.0,0,
178,48.0,0,
179,48.0,0,
180,48.0,0,
181,48.0,0,
182,48.0,0,
183,48.0,0,
184,48.0,1,
185,48.0,0,
186,48.0,1,
187,48.0,0,
188,48.0,1,
189,48.0,0,
190,48.0,0,
191,48.0,0,
192,48.0,0,
193,48.0,0,
194,48.0,0,
195,48.0,0,
196,48.0,0,
197,48.0,0,
198,48.0,1,
199,48.0,1,
200,48.0,1,
201,48.0,0,
202,48.0,0,
203,48.0,0,
204,48.0,0,
205,48.0,0,
206,48.0,1,
207,48.0,0,
208,48.0,1,
209,48.0,0,
210,48.0,0,
211,48.0,1,
212,48.0,0,
213,48.0,0,
214,48.0,0,
215,48.0,0,
216,48.0,1,
217,48.0,1,
218,48.0,0,
219,48.0,0,
220,48.0,0,
221,48.0,0,
222,48.0,1,
223,48.0,0,
224,48.0,0,
225,48.0,3,
226,48.0,1,
227,48.0,0,
228,48.0,1,
229,48.0,1,
230,48.0,1,
231,48.0,1,
232,48.0,1,
233,48.0,0,
234,48.0,0,
235,48.0,1,
236,48.0,0,
237,48.0,3,
238,48.0,0,
239,48.0,0,
240,48.0,1,
241,48.0,0,
242,48.0,0,
243,48.0,1,
244,48.0,0,
245,48.0,0,
246,48.0,0,
247,48.0,2,
248,48.0,0,
249,48.0,0,
250,48.0,0,
251,48.0,1,
252,48.0,2,
253,48.0,1,
254,48.0,1,
255,48.0,0,
256,48.0,0,
257,48.0,1,
258,48.0,1,
259,48.0,1,
260,48.0,1,
261,48.0,0,
262,48.0,0,
263,48.0,0,
264,48.0,1,
265,48.0,1,
266,48.0,1,
267,48.0,0,
268,48.0,0,
269,48.0,1,
270,48.0,1,
271,48.0,0,
272,48.0,0,
273,48.0,0,
274,48.0,0,
275,48.0,0,
276,48.0,0,
277,48.0,2,
278,48.0,0,
279,48.0,0,
280,48.0,1,
281,48.0,0,
282,48.0,0,
283,48.0,0,
284,48.0,0,
285,48.0,1,
286,48.0,1,
287,48.0,1,
288,48.0,0,
289,48.0,0,
290,48.0,0,
291,48.0,1,
292,48.0,0,
293,47.0,0,47.352173198302154
294,47.0,0,47.352173198302154
295,47.0,0,47.352173198302154
296,47.0,1,47.53700070909585
297,47.0,0,47.352173198302154
298,47.0,1,47.53700070909585
299,47.0,0,47.352173198302154
300,47.0,0,47.352173198302154
301,47.0,0,47.352173198302154
302,47.0,3,47.816661007100315
303,47.0,0,47.352173198302154
304,47.0,0,47.352173198302154
305,47.0,0,47.352173198302154
306,47.0,0,47.352173198302154
307,47.0,0,47.352173198302154
308,47.0,0,47.352173198302154
309,47.0,0,47.352173198302154
310,47.0,0,47.352173198302154
311,47.0,0,47.352173198302154
312,47.0,1,47.53700070909585
313,47.0,0,47.352173198302154
314,47.0,0,47.352173198302154
315,47.0,0,47.352173198302154
316,47.0,1,47.53700070909585
317,47.0,0,47.352173198302154
318,47.0,0,47.352173198302154
319,47.0,1,47.53700070909585
320,47.0,1,47.53700070909585
321,47.0,0,47.352173198302154
322,47.0,3,47.816661007100315
323,47.0,3,47.816661007100315
324,47.0,2,47.65230294276519
325,47.0,0,47.352173198302154
326,47.0,1,47.53700070909585
327,47.0,0,47.352173198302154
328,47.0,0,47.352173198302154
329,47.0,0,47.352173198302154
330,47.0,0,47.352173198302154
331,47.0,0,47.352173198302154
332,47.0,1,47.53700070909585
333,47.0,2,47.65230294276519
334,47.0,0,47.352173198302154
335,47.0,2,47.65230294276519
336,47.0,0,47.352173198302154
337,47.0,0,47.352173198302154
338,47.0,1,47.53700070909585
339,47.0,0,47.352173198302154
340,47.0,0,47.352173198302154
341,47.0,0,47.352173198302154
342,47.0,1,47.53700070909585
343,47.0,1,47.53700070909585
344,47.0,0,47.352173198302154
345,47.0,0,47.352173198302154
346,47.0,0,47.352173198302154
347,47.0,1,47.53700070909585
348,47.0,1,47.53700070909585
349,47.0,1,47.53700070909585
350,47.0,0,47.352173198302154
351,47.0,2,47.65230294276519
352,47.0,1,47.53700070909585
353,47.0,0,47.352173198302154
354,47.0,1,47.53700070909585
355,47.0,0,47.352173198302154
356,47.0,0,47.352173198302154
357,47.0,0,47.352173198302154
358,47.0,1,47.53700070909585
359,47.0,0,47.352173198302154
360,47.0,1,47.53700070909585
361,47.0,3,47.816661007100315
362,47.0,1,47.53700070909585
363,47.0,1,47.53700070909585
364,47.0,0,47.352173198302154
365,47.0,0,47.352173198302154
366,47.0,1,47.53700070909585
367,47.0,0,47.352173198302154
368,47.0,0,47.352173198302154
369,47.0,0,47.352173198302154
370,47.0,1,47.53700070909585
371,47.0,0,47.352173198302154
372,47.0,0,47.352173198302154
373,47.0,0,47.352173198302154
374,47.0,0,47.352173198302154
375,47.0,0,47.352173198302154
376,47.0,0,47.352173198302154
377,47.0,2,47.65230294276519
378,47.0,0,47.352173198302154
379,47.0,0,47.352173198302154
380,47.0,0,47.352173198302154
381,47.0,1,47.53700070909585
382,47.0,2,47.65230294276519
383,47.0,1,47.53700070909585
384,47.0,1,47.53700070909585
385,47.0,0,47.352173198302154
386,47.0,0,47.352173198302154
387,47.0,2,47.65230294276519
388,47.0,0,47.352173198302154
389,47.0,1,47.53700070909585
390,47.0,1,47.53700070909585
391,47.0,0,47.352173198302154
392,47.0,0,47.352173198302154
393,47.0,2,47.65230294276519
394,47.0,0,47.352173198302154
395,47.0,0,47.352173198302154
396,47.0,0,47.352173198302154
397,47.0,1,47.53700070909585
398,47.0,1,47.53700070909585
399,47.0,0,47.352173198302154
400,47.0,0,47.352173198302154
401,47.0,1,47.53700070909585
402,47.0,0,47.352173198302154
403,47.0,0,47.352173198302154
404,47.0,1,47.53700070909585
405,47.0,0,47.352173198302154
406,47.0,0,47.352173198302154
407,47.0,1,47.53700070909585
408,47.0,0,47.352173198302154
409,47.0,1,47.53700070909585
410,47.0,1,47.53700070909585
411,47.0,0,47.352173198302154
412,47.0,0,47.352173198302154
413,47.0,0,47.352173198302154
414,47.0,1,47.53700070909585
415,47.0,0,47.352173198302154
416,47.0,0,47.352173198302154
417,47.0,0,47.352173198302154
418,47.0,0,47.352173198302154
419,47.0,1,47.53700070909585
420,47.0,0,47.352173198302154
421,47.0,0,47.352173198302154
422,47.0,1,47.53700070909585
423,47.0,0,47.352173198302154
424,47.0,0,47.352173198302154
425,47.0,1,47.53700070909585
426,47.0,0,47.352173198302154
427,47.0,0,47.352173198302154
428,47.0,0,47.352173198302154
429,47.0,0,47.352173198302154
430,47.0,1,47.53700070909585
431,47.0,0,47.352173198302154
432,47.0,0,47.352173198302154
433,47.0,0,47.352173198302154
434,47.0,1,47.53700070909585
435,47.0,1,47.53700070909585
436,47.0,2,47.65230294276519
437,47.0,0,47.352173198302154
438,47.0,0,47.352173198302154
439,47.0,0,47.352173198302154
440,47.0,0,47.352173198302154
441,47.0,0,47.352173198302154
442,47.0,0,47.352173198302154
443,47.0,3,47.816661007100315
444,47.0,1,47.53700070909585
445,47.0,1,47.53700070909585
446,47.0,0,47.352173198302154
447,47.0,0,47.352173198302154
448,47.0,0,47.352173198302154
449,47.0,1,47.53700070909585
450,47.0,0,47.352173198302154
451,47.0,1,47.53700070909585
452,47.0,0,47.352173198302154
453,47.0,1,47.53700070909585
454,47.0,0,47.352173198302154
455,47.0,0,47.352173198302154
456,47.0,2,47.65230294276519
457,47.0,3,47.816661007100315
458,47.0,0,47.352173198302154
459,47.0,0,47.352173198302154
460,47.0,0,47.352173198302154
461,47.0,1,47.53700070909585
462,47.0,0,47.352173198302154
463,47.0,1,47.53700070909585
464,47.0,0,47.352173198302154
465,47.0,1,47.53700070909585
466,47.0,1,47.53700070909585
467,47.0,1,47.53700070909585
468,47.0,1,47.53700070909585
469,47.0,1,47.53700070909585
