,score,group,uuid
2,48.0,0,01aeb53a-de56-467d-9789-5881fb6356f9
3,48.0,0,01fe1a1f-52b7-484a-87bd-a693a6b2fac6
5,48.0,0,02ec42f2-db00-4ffa-9940-1174e8d97099
6,48.0,0,03b3920e-730f-4819-b659-dd4f8efd5ad4
0,48.0,1,003649c1-2004-4509-a28f-49b47bc69951
10,48.0,0,05accc44-6204-4add-8669-d03aca6dee75
12,48.0,0,06243459-ad1c-4a91-9450-a6c71e8bfed5
1,48.0,1,01343315-09d1-4887-a96b-0d12c5c05274
14,48.0,0,0764182c-1a0e-4406-b22f-872751a27a1c
15,48.0,0,0813116c-af15-4f4c-bc2e-8a91f0d0370d
4,48.0,1,02392d1f-7538-4a60-999c-119293a331d0
16,48.0,0,098e6090-eaa5-47b6-97fb-4b0bbb40c385
7,48.0,1,03e4481b-a037-45dc-9682-f024cc5c2261
8,48.0,1,04331c6b-a55e-4340-9d61-865b3217bb46
17,48.0,0,0b71557e-34a3-4c6e-977b-e1ec9389138a
18,48.0,0,0b954f92-dc91-447c-bdce-6d98a16f71a3
9,48.0,1,05a4bc67-6bfa-4453-a25b-3c6094bce139
20,48.0,0,0ec7fbe4-cfae-4c47-8ac7-0d4f5869c955
36,48.0,3,1cb313d2-7898-4f9a-812a-acb16d20793c
49,48.0,2,2aae8915-a5b0-4d45-b830-24d3c8cae272
11,48.0,1,061095f1-6dfe-48af-8768-fc4023a9e2a9
21,48.0,0,0f12354d-74f5-4494-90cb-d47607096158
13,48.0,1,0739df22-b919-40c9-aca7-b74bbc677691
22,48.0,0,103c2ce1-458a-4d73-a33d-02b06489765b
19,48.0,1,0d14f3c1-e1e6-4ca4-aea1-df8be07ca321
23,48.0,0,115179d4-93ad-4418-adb9-e4855e14311f
75,48.0,2,436e7d20-e080-4f49-a74b-d01efa4e0b06
24,48.0,0,129c17dc-edc5-4a6c-a98f-09cd3aeffa66
26,48.0,0,14a8279d-deca-461a-90a7-31f908c8eb44
27,48.0,0,15873548-605d-41bc-af0d-294d3fecd039
28,48.0,0,15cf2351-e49f-4108-9a3c-caea6549c1ca
25,48.0,1,149c5a47-2ad0-4fd5-bdec-62ebf35b9b26
29,48.0,0,16fdf8bc-db40-4143-8678-57c1d8602533
30,48.0,0,17a5b486-4957-4486-a655-79e106ba68d6
32,48.0,0,184e5a6b-4474-4266-8052-0fc8a16822a3
33,48.0,0,19a9e20a-5039-462f-abbc-1b44121c1e7c
31,48.0,1,17b35042-9ec5-489f-9f8e-bad8ee62be2d
34,48.0,0,1b58f50f-906d-41a5-a27f-a821a51b9a2e
37,48.0,1,1cccfa74-bfb7-40b9-9b30-930ddbc17a74
38,48.0,1,1f28d8ee-0a58-445a-a74d-6ca2bf54d627
35,48.0,0,1c14a49a-b184-4889-b6b5-7235144f8521
39,48.0,0,22884687-d593-4f23-9776-27c0dcafbfa9
43,48.0,0,25c77fe3-f156-44d7-a1e8-49a723b4017c
40,48.0,1,2354415f-f4e4-4f6c-9e33-724647249ae5
45,48.0,0,26a522a0-1340-4d10-85dc-c95bf77b57f5
48,48.0,0,2a9e9376-74f2-4698-8197-9a05f4a4d46b
125,48.0,2,7794193f-adce-4384-91fd-792e36e6da81
50,48.0,0,2ae983c7-fc26-4665-a0a2-94166271d7bc
51,48.0,0,2b6d832c-7bda-4f68-8b3d-24f113b72abd
132,48.0,2,7ab067fa-0e27-4073-a07b-85d309e79c9e
41,48.0,1,24760812-2adb-4446-a0d0-cca98fadb467
52,48.0,0,2ce79cdf-109e-4252-97ef-d21f2e39c78f
53,48.0,0,2eb7e55b-4bb7-445e-a6c4-18319256c617
54,48.0,0,2f2a1360-8aaa-40a3-9d9f-bf94b23fd16a
55,48.0,0,30000bdb-7e4c-497d-a24c-3a4ad756261c
59,48.0,0,336dbeec-e72b-406a-bc51-12c2ef49cece
42,48.0,1,252e80a8-94cb-40d6-9e60-20bab6ccf967
44,48.0,1,2644c2fe-abd0-4821-967e-1b617729b890
60,48.0,0,34043edf-c93f-467e-bbe7-990c76d21a2e
46,48.0,1,26db493c-28eb-4299-8c3a-2140e18fb54b
47,48.0,1,27e6a7d2-c84f-4c7a-ad6e-23649a753b7f
62,48.0,0,360c4d0c-e7a3-4b03-91d1-508364f9d8b1
63,48.0,0,3799e4e5-9a68-4941-8ba8-b3dac7291abc
64,48.0,0,37d72901-c044-4950-b01b-5852044d53ba
